texto,especialidad
tengo un presion arterial alta y me da miedo,Cardiologia
siento dolor en el pecho constante,Cardiologia
dolor que se va al brazo izquierdo,Cardiologia
hola cansancio por presion alta y me duele bastante,Cardiologia
me ha dado falta de aire al hacer esfuerzo urgente,Cardiologia
siento latidos desordenados bien fuerte,Cardiologia
ayuda por favor falta de aire al hacer esfuerzo bien fuerte,Cardiologia
ayuda por favor siento latidos desordenados de un momento a otro,Cardiologia
dolor en el pecho,Cardiologia
cansancio por presion alta,Cardiologia
falta de aire al hacer esfuerzo,Cardiologia
sensacion de ahogo en el pecho,Cardiologia
agitacion al caminar,Cardiologia
buenas tardes doctor presion arterial alta,Cardiologia
dolor en la zona del corazon,Cardiologia
siento que el corazon late muy rapido bien fuerte,Cardiologia
presento palpitaciones en el corazon feo,Cardiologia
me salio soplo en el corazon bien fuerte,Cardiologia
de la nada tengo sensacion de ahogo en el pecho feo,Cardiologia
me ha dado cansancio por presion alta bien fuerte,Cardiologia
ultimamente tengo soplo en el corazon y me da miedo,Cardiologia
me salio angina de pecho que me asusta,Cardiologia
siento que el corazon late muy rapido,Cardiologia
buenos dias sensacion de ahogo en el pecho por ratos,Cardiologia
dolor de pecho al respirar,Cardiologia
ultimamente tengo presion arterial alta que me asusta,Cardiologia
tengo un dolor en el pecho urgente,Cardiologia
tengo un dolor que se va al brazo izquierdo,Cardiologia
ayuda por favor sensacion de ahogo en el pecho de un momento a otro,Cardiologia
siento latidos desordenados,Cardiologia
ayuda por favor soplo en el corazon urgente,Cardiologia
me ha dado soplo en el corazon que me asusta,Cardiologia
buenos dias agitacion al caminar que me asusta,Cardiologia
tengo un taquicardia y no puedo mas,Cardiologia
desde hace dias tengo presion arterial alta urgente,Cardiologia
presento presion en el pecho y malestar,Cardiologia
doctor siento que el corazon late muy rapido hace tres dias,Cardiologia
siento un presion en el pecho bien fuerte,Cardiologia
me salio dolor de pecho al respirar hace tres dias,Cardiologia
me ha dado insuficiencia cardiaca y me da miedo,Cardiologia
tengo dolor en el pecho,Cardiologia
presion arterial alta,Cardiologia
tengo taquicardia que me asusta,Cardiologia
buenos dias dolor en el pecho y necesito cita,Cardiologia
buenos dias falta de aire al hacer esfuerzo y necesito cita,Cardiologia
tengo presion en el pecho,Cardiologia
de la nada tengo insuficiencia cardiaca y necesito cita,Cardiologia
desde hace dias tengo siento que el corazon late muy rapido hace tres dias,Cardiologia
buenos dias siento latidos desordenados feo,Cardiologia
me salio soplo en el corazon feo,Cardiologia
ultimamente tengo dolor en la zona del corazon,Cardiologia
siento taquicardia bien fuerte,Cardiologia
ayuda por favor cansancio por presion alta,Cardiologia
siento arritmia y necesito cita,Cardiologia
palpitaciones en el corazon,Cardiologia
taquicardia,Cardiologia
me ha dado falta de aire al hacer esfuerzo que me asusta,Cardiologia
presento sensacion de ahogo en el pecho hace tres dias,Cardiologia
siento taquicardia constante,Cardiologia
tengo un arritmia y me duele bastante,Cardiologia
me salio insuficiencia cardiaca constante,Cardiologia
soplo en el corazon,Cardiologia
falta de aire al hacer esfuerzo constante,Cardiologia
de la nada tengo dolor que se va al brazo izquierdo constante,Cardiologia
de la nada tengo siento latidos desordenados y me da miedo,Cardiologia
tengo un sensacion de ahogo en el pecho y no puedo mas,Cardiologia
ultimamente tengo sensacion de ahogo en el pecho que no se me pasa,Cardiologia
hola cansancio por presion alta feo,Cardiologia
hola falta de aire al hacer esfuerzo y malestar,Cardiologia
tengo dolor en el pecho constante,Cardiologia
tengo un palpitaciones fuertes durmiendo y malestar,Cardiologia
ultimamente tengo presion en el pecho hace tres dias,Cardiologia
hola dolor de pecho al respirar bien fuerte,Cardiologia
siento un presion en el pecho por ratos,Cardiologia
siento un soplo en el corazon que no se me pasa,Cardiologia
tengo cansancio por presion alta y no puedo mas,Cardiologia
hola arritmia y necesito cita,Cardiologia
siento un sensacion de ahogo en el pecho y no puedo mas,Cardiologia
presion en el pecho,Cardiologia
hola sensacion de ahogo en el pecho hace tres dias,Cardiologia
hola agitacion al caminar que me asusta,Cardiologia
angina de pecho,Cardiologia
hola dolor de pecho al respirar que no se me pasa,Cardiologia
doctor siento latidos desordenados que me asusta,Cardiologia
arritmia,Cardiologia
desde hace dias tengo palpitaciones en el corazon bien fuerte,Cardiologia
siento sensacion de ahogo en el pecho urgente,Cardiologia
insuficiencia cardiaca,Cardiologia
buenas tardes doctor palpitaciones fuertes durmiendo,Cardiologia
doctor arritmia y me da miedo,Cardiologia
buenas tardes doctor sensacion de ahogo en el pecho urgente,Cardiologia
me ha dado palpitaciones fuertes durmiendo y malestar,Cardiologia
dolor punzante en el pecho,Cardiologia
palpitaciones fuertes durmiendo,Cardiologia
presento cansancio por presion alta feo,Cardiologia
buenas tardes doctor angina de pecho de un momento a otro,Cardiologia
presento dolor punzante en el pecho por ratos,Cardiologia
ayuda por favor soplo en el corazon hace tres dias,Cardiologia
ultimamente tengo arritmia hace tres dias,Cardiologia
ayuda por favor siento latidos desordenados,Cardiologia
me ha dado mi nena tiene sarpullido y me duele bastante,Pediatria
de la nada tengo mi bebe vomito la leche y no puedo mas,Pediatria
presento fiebre alta en mi hijo bien fuerte,Pediatria
doctor mi hijito esta con tos urgente,Pediatria
presento el bebe no quiere tomar teta hace tres dias,Pediatria
desde hace dias tengo gripe de mi recien nacido de un momento a otro,Pediatria
buenos dias el niño tiene diarrea hace tres dias,Pediatria
control de crecimiento de mi hijo,Pediatria
mi bebe vomito la leche,Pediatria
